"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-17","0.07","0.0","82","58","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-18","0.00","0.0","78","61",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-19","0.00","0.0","85","60",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-20","0.00","0.0","89","71",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-21","0.00","0.0","74","60",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-22","0.00","0.0","75","54",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-23","0.50","0.0","76","61","    1",,"    1",,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-24","0.06","0.0","82","65","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-25","0.03","0.0","74","57",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-26","0.12","0.0","88","63","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-27","0.00","0.0","83","67",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-28","0.35","0.0","83","63","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-29","0.20","0.0","90","69","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-30","0.09","0.0","84","69",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-05-31","0.00","0.0","83","67",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-06-01","0.01","0.0","84","65",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-06-02","0.37","0.0","82","63",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-06-03","0.00","0.0","73","59",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2019-06-04","0.00","0.0","74","54",,,,,,,,
